community,score,permit_count,total_permit_value,avg_permit_value,property_count,avg_property_value,permit_density,investment_ratio
GLENBROOK,8618939.03,205,34468922.77,168141.09,12,16.67,1708.33,17234461.39
HAYSBORO,24351.56,186,133914882.34,719972.49,24,11833.33,775.0,47153.13
STONEY 3,19242.52,81,16487917.98,203554.54,16,2750.0,506.25,37472.54
GLAMORGAN,13535.91,121,43856827.22,362453.12,19,8947.37,636.84,25798.13
MANCHESTER,13116.67,57,59196671.0,1038538.09,23,10000.0,247.83,25737.68
CAPITOL HILL,10924.96,291,44434804.34,152696.92,23,10000.0,1265.22,19319.48
KINGSLAND,10444.26,106,89836578.55,847514.89,45,9777.78,235.56,20417.4
UPPER MOUNT ROYAL,7046.1,118,26293362.87,222825.11,15,14002.0,786.67,12518.86
DEERFOOT BUSINESS CENTRE,6250.36,83,50842998.0,612566.24,42,10000.0,197.62,12105.48
SHEPARD INDUSTRIAL,5920.15,95,45725399.84,481320.0,10,46000.0,950.0,9940.3
COVENTRY HILLS,5024.28,689,52093263.41,75607.06,16,226718.75,4306.25,1436.07
MOUNT PLEASANT,4333.68,386,47985084.14,124313.69,66,9696.97,584.85,7497.67
ACADIA,4168.61,217,18730924.03,86317.62,14,25546.43,1550.0,5237.22
SUNALTA,4162.93,76,90136958.86,1186012.62,74,15000.0,102.7,8120.45
MARTINDALE,3847.16,384,23256646.15,60564.18,14,75214.29,2742.86,2208.61
WINDSOR PARK,3738.99,102,46597786.25,456841.04,66,9848.48,154.55,7168.89
RICHMOND,3672.13,324,57636672.42,177890.96,62,14758.06,522.58,6299.09
HASKAYNE,3454.71,372,111700430.71,300269.98,11,6965681.82,3381.82,145.78
CLIFF BUNGALOW,3345.83,68,59188713.95,870422.26,61,15000.0,111.48,6468.71
MONTGOMERY,3219.32,263,69473108.22,264156.31,117,9914.53,224.79,5989.06
PARKDALE,3134.25,129,72015246.76,558257.73,119,10000.0,108.4,6051.7
KELVIN GROVE,2868.52,64,6751850.1,105497.66,14,10000.0,457.14,4822.75
PINE CREEK,2840.84,406,134599336.19,331525.46,15,3343800.0,2706.67,268.36
EAST SHEPARD INDUSTRIAL,2797.74,223,357559582.99,1603406.2,15,909074.67,1486.67,2622.15
TUXEDO PARK,2693.61,270,40091296.64,148486.28,87,9667.82,310.34,4766.53
KILLARNEY/GLENGARRY,2595.36,447,71954911.49,160972.96,163,9509.2,274.23,4642.25
NOLAN HILL,2368.8,336,80070215.76,238304.21,28,122332.86,1200.0,2337.6
EDGEMONT,2267.44,213,16204683.6,76078.33,50,8800.0,426.0,3682.88
BOWNESS,2247.33,395,55539003.36,140605.07,33,80115.15,1196.97,2100.73
EVANSTON,2223.57,860,176924429.38,205726.08,109,56572.57,788.99,2869.16
MCKENZIE LAKE,2209.97,212,7270173.51,34293.27,11,116897.27,1927.27,565.39
HOMESTEAD,2175.15,231,57096471.15,247170.87,11,3453409.09,2100.0,150.3
RENFREW,2125.47,315,118521285.55,376258.05,302,9708.64,104.3,4042.32
WALDEN,1997.72,471,122681754.29,260470.82,182,19381.87,258.79,3477.87
DOWNTOWN COMMERCIAL CORE,1905.79,1534,1659839869.43,1082033.81,1264,36795.09,121.36,3568.86
SHAGANAPPI,1880.77,106,31852757.65,300497.71,63,14761.9,168.25,3425.03
ALTADORE,1671.08,503,83689598.72,166380.91,203,14482.76,247.78,2846.58
DOUGLASDALE/GLEN,1612.41,231,125481249.9,543208.87,269,15278.81,85.87,3053.07
HIDDEN VALLEY,1574.06,231,11444661.25,49543.99,18,109347.78,1283.33,581.46
NEW BRIGHTON,1562.13,547,85548914.34,156396.55,66,88375.76,828.79,1466.69
CITYSCAPE,1504.4,374,122783406.32,328297.88,247,18370.45,151.42,2705.97
ALPINE PARK,1491.93,333,98050635.98,294446.35,23,4833239.13,1447.83,88.2
HILLHURST,1389.44,352,288791536.14,820430.5,545,19998.17,64.59,2649.71
MORAINE,1240.23,212,45424323.28,214265.68,18,2020393.33,1177.78,124.91
CRESTMONT,1150.89,113,25612420.64,226658.59,10,6130850.0,1130.0,41.78
BEDDINGTON HEIGHTS,1146.0,160,5074978.49,31718.62,19,43947.37,842.11,607.78
WESTWINDS,1093.82,139,77417057.09,556957.25,33,174393.94,421.21,1345.21
QUEENSLAND,945.91,51,4655440.7,91283.15,30,10000.0,170.0,1551.81
NORTH HAVEN,910.95,43,6486838.19,150856.7,31,13548.39,138.71,1544.49
RANCHLANDS,886.26,75,1336044.05,17813.92,16,10000.0,468.75,835.03
