station,lat,lon,permits_within_500m,permits_within_1km,total_permits,total_value_500m,total_value_1km,tod_score
City Hall,51.0486,-114.0625,711,1085,1796,0,0,2507
Crescent Heights,51.0516,-114.0642,600,1063,1663,0,0,2263
3 Street SE,51.0497,-114.058,307,1106,1413,0,0,1720
Sunnyside,51.0544,-114.0789,85,1032,1117,0,0,1202
Victoria Park-Stampede,51.0433,-114.0542,154,635,789,0,0,943
Lions Park,51.0652,-114.0503,131,430,561,0,0,692
Lions Park,51.0652,-114.0503,131,430,561,0,0,692
Bridgeland-Memorial,51.0555,-114.048,157,326,483,0,0,640
SAIT-ACAD-Jubilee,51.0667,-114.0885,129,337,466,0,0,595
Chinook,50.9978,-114.0707,156,216,372,0,0,528
39 Avenue,51.025,-114.0836,104,264,368,0,0,472
Erlton-Stampede,51.0336,-114.0603,42,366,408,0,0,450
Sunalta,51.0445,-114.0995,66,314,380,0,0,446
Shaganappi Point,51.0418,-114.1284,73,280,353,0,0,426
69 Street,51.0396,-114.2062,78,257,335,0,0,413
Heritage,51.0113,-114.0705,79,224,303,0,0,382
Anderson,50.9656,-114.0811,79,152,231,0,0,310
Zoo,51.046,-114.0326,32,231,263,0,0,295
Brentwood,51.0883,-114.1106,61,128,189,0,0,250
Franklin,51.0728,-113.9779,58,116,174,0,0,232
Westbrook,51.0329,-114.1616,26,158,184,0,0,210
Somerset-Bridlewood,50.9088,-114.0715,35,127,162,0,0,197
Barlow-Max Bell,51.0684,-113.9953,48,95,143,0,0,191
Shawnessy,50.9393,-114.0668,37,113,150,7508538,0,187
Whitehorn,51.0852,-113.9667,20,109,129,0,0,149
Marlborough,51.0779,-113.9633,22,91,113,0,0,135
Dalhousie,51.102,-114.1226,22,79,101,0,0,123
Fish Creek-Lacombe,50.9253,-114.0702,15,67,82,0,0,97
